Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,C1 Score,C2 Score,C3 Score,C4 Score,C5 Score,C6 Score,Federer Score,Verdict,Personalization Hook
Divi's Laboratories,divislabs.com,Hyderabad,Specialty chemicals,"Custom synthesis and nutraceutical ingredients",">Rs.500Cr","Dr. Murali Divi",Strong,Strong,Strong,Strong,Strong,Strong,0,"Auto-disqualified","Too large for ICP range"
Natco Pharma,natcopharma.co.in,Hyderabad,Specialty pharma,"Oncology and niche pharmaceutical products",Rs.300-500Cr,"V.C. Nannapaneni",Strong,Strong,Strong,Strong,Strong,Strong,92,"Strong Fit","Strong oncology product portfolio and export growth"
Shantha Biotechnics,shanthabiotech.com,Hyderabad,Biotech manufacturing,"Vaccines and recombinant biotech products",Rs.100-300Cr,"Varaprasad Reddy",Strong,Strong,Strong,Strong,Strong,Moderate,90,"Strong Fit","Pioneer in affordable recombinant vaccines"
Virchow Biotech,virchowbiotech.com,Hyderabad,Biotech manufacturing,"Biological APIs and injectables",Rs.100-300Cr,"N. Venkateswarlu",Strong,Strong,Strong,Strong,Strong,Strong,90,"Strong Fit","Large-scale injectable manufacturing expansion"
Aizant Drug Research,aizant.com,Hyderabad,Pharma manufacturing,"Formulations and integrated pharma services",Rs.100-300Cr,"Srinivas Rao",Strong,Strong,Strong,Moderate,Strong,Moderate,85,"Fit","Integrated R&D and manufacturing platform"
Zen Technologies,zentechnologies.com,Hyderabad,Defence technology,"Combat training simulators and defence electronics",Rs.100-300Cr,"Ashok Atluri",Strong,Strong,Strong,Strong,Strong,Strong,95,"Strong Fit","Major beneficiary of defence indigenization"
MTAR Technologies,mtar.in,Hyderabad,Precision manufacturing,"Nuclear, aerospace and clean energy components",Rs.300-500Cr,"P. Ravinder Reddy",Strong,Strong,Strong,Strong,Strong,Strong,95,"Strong Fit","Supplier to ISRO and nuclear energy programs"
Premier Explosives,pelgel.com,Hyderabad,Defence manufacturing,"Explosives and missile propellants",Rs.100-300Cr,"P. Chandrasekhar Reddy",Strong,Strong,Strong,Strong,Strong,Strong,90,"Strong Fit","Supplying propellants for Indian missile programs"
Skyroot Aerospace,skyroot.in,Hyderabad,Aerospace manufacturing,"Private launch vehicles and rocket systems",Rs.30-100Cr,"Pawan Kumar Chandana",Strong,Strong,Strong,Strong,Strong,Strong,92,"Strong Fit","Successfully launched India's first private rocket"
Tessolve,tessolve.com,Hyderabad,Semiconductor engineering,"Chip testing and semiconductor solutions",Rs.100-300Cr,"Srini Rajam",Moderate,Strong,Strong,Strong,Strong,Moderate,82,"Fit","Expanding semiconductor engineering operations"
Cyient DLM,cyientdlm.com,Hyderabad,Electronics manufacturing,"High-reliability electronic systems",Rs.300-500Cr,"Anthony Montalbano",Strong,Strong,Strong,Moderate,Strong,Strong,88,"Strong Fit","Strong aerospace and defence manufacturing growth"
Data Patterns India,datapatternsindia.com,Hyderabad,Defence electronics,"Radar and aerospace electronic systems",Rs.300-500Cr,"S. Rangarajan",Strong,Strong,Strong,Strong,Strong,Strong,94,"Strong Fit","Expanding indigenous defence electronics capabilities"
Suyati Technologies,suyati.com,Hyderabad,Industrial IoT,"Industrial automation and IoT systems",Rs.50-100Cr,"Mukund Mohan",Moderate,Strong,Moderate,Moderate,Strong,Moderate,70,"Borderline","Building industrial IoT solutions for manufacturing sector"
